command,kind,family,name,audience,privilege,status,note
agwrestart,root,,agwrestart,SYSOP,5,verified,Restart the AGW connection subsystem.
announce,root,,announce,DUAL,0 / 5,verified,Send local or cluster-wide announcements; SYSOP form targets sysops.
apropos,root,,apropos,USER,0,verified,Search the built-in help database.
blank,root,,blank,USER,0,verified,Print blank or repeated separator lines.
bye,root,,bye,USER,0,verified,Disconnect from the cluster.
catchup,root,,catchup,SYSOP,5,verified,Mark messages as already sent to a forwarding node.
chat,root,,chat,USER,0,verified,Send a message to a joined chat/conference group.
connect,root,,connect,SYSOP,5,verified,Start an outbound connection to another cluster node.
dbavail,root,,dbavail,USER,0,verified,List databases defined on the node.
dbcreate,root,,dbcreate,SYSOP,9,verified,"Define a local, chained, remote or command-backed database."
dbdelkey,root,,dbdelkey,INTERNAL,,internal_review,Current file is a no-op placeholder; not exposed as supported documentation.
dbexport,root,,dbexport,SYSOP,9,verified,Export database data.
dbimport,root,,dbimport,SYSOP,9,verified,Import database data.
dbremove,root,,dbremove,SYSOP,9,verified,Remove a database definition/data.
dbshow,root,,dbshow,USER,0,verified,Query a defined database.
dbupdate,root,,dbupdate,INTERNAL,,internal_review,Current file is a no-op placeholder; not exposed as supported documentation.
debug,root,,debug,SYSOP,9,verified,Enter Perl debugger mode when the node is running under the debugger.
demonstrate,root,,demonstrate,SYSOP,9,verified,Run a command as another user for demonstration/support.
directory,root,,directory,DUAL,0 / 5,verified,List messages; SYSOP can see otherwise hidden/private entries.
disconnect,root,,disconnect,SYSOP,8,verified,"Disconnect local users, nodes or groups of connections."
dmesg,root,,dmesg,SYSOP,9,verified,Alias to SHOW/DEBUG_RING.
do,root,,do,INTERNAL,9,internal_review,Local privileged Perl-eval command; intentionally excluded from normal operational docs.
download,root,,download,SYSOP,9,verified,"Download a URL into local_data, including from cron."
dx,root,,dx,DUAL,0 / 2,verified,Send a DX spot; privileged form accepts additional origin metadata.
dxqsl_export,root,,dxqsl_export,SYSOP,9,verified,Export accumulated DX QSL-manager information.
dxqsl_import,root,,dxqsl_import,SYSOP,9,verified,Import accumulated DX QSL-manager information.
echo,root,,echo,USER,0,verified,Echo text/input.
export,root,,export,SYSOP,9,verified,Export a message to a file from a privileged local console.
export_users,root,,export_users,SYSOP,9,verified,Export the user database to ASCII.
help,root,,help,USER,0,verified,Show command help.
init,root,,init,SYSOP,5,verified,Re-initialise a legacy-compatible node link.
join,root,,join,USER,0,verified,Join a chat/conference group.
kill,root,,kill,DUAL,0 / 5,verified,Delete permitted messages; SYSOP has broader message-deletion scope.
leave,root,,leave,USER,0,verified,Leave a chat/conference group.
links,root,,links,USER,0,verified,Show link information.
merge,root,,merge,SYSOP,5,verified,Administrative merge operation.
mrtg,root,,mrtg,SYSOP,operational,verified,Generate MRTG configuration/data and optional plots for node statistics.
msg,root,,msg,SYSOP,9,verified,Administrative message-system command.
nospawn,root,,nospawn,SYSOP,2,verified,Run a command without the normal spawn/user impersonation path; local only.
pc,root,,pc,SYSOP,8,verified,Send arbitrary text/protocol to a connected callsign.
ping,root,,ping,DUAL,0 / 1,verified,Ping a node; privileged mode provides broader operational access.
privilege,root,,privilege,SYSOP,9,verified,Privilege-management command/compatibility entry; prefer SET/PRIVILEGE.
rcmd,root,,rcmd,SYSOP,1,verified,Send a remote command to another cluster node.
read,root,,read,DUAL,0 / 5,verified,Read permitted messages; SYSOP may read any message.
reply,root,,reply,USER,0,verified,"Reply to a message, with bulletin/private/read-receipt variants."
rinit,root,,rinit,SYSOP,5,verified,Reverse-initialise a connected node and resend local configuration.
run,root,,run,DUAL,0 / 8,verified,Run a script; higher privilege is required for scripts targeted at another callsign.
save,root,,save,SYSOP,9,verified,Save command output to a file.
send,root,,send,USER,0,verified,Compose and send personal or bulletin messages.
send_config,root,,send_config,SYSOP,6,verified,Broadcast PC92 C configuration records.
shu,root,,shu,SYSOP,5,verified,Guard/abbreviation handler requiring a longer SHUTDOWN command.
shutdown,root,,shutdown,SYSOP,5,verified,Shut down the cluster and disconnect users.
spoof,root,,spoof,SYSOP,9,verified,Run a command as another user.
